Name,Title,Country,Standard Rating,Rapid Rating,Blitz Rating,Birth Year
"Amar, Elham",IM,NOR,2584,2475,2470,2005
"Gurel, Ediz",IM,TUR,2554,2313,2359,2008
"Makarian, Rudik",IM,FID,2552,2485,2539,2004
"Horvath, Dominik",IM,AUT,2549,2415,2396,2003
Aronyak Ghosh,IM,IND,2545,2422,2421,2003
"Obolenskikh, Dmitry",IM,RUS,2537,2602,2488,1985
"Dudin, Gleb",IM,HUN,2537,2404,2371,2004
"Samunenkov, Ihor",IM,UKR,2531,2429,2473,2009
"Neugebauer, Martin",IM,SVK,2530,2430,2417,1999
"He, Anthony",IM,USA,2529,,2409,2005
"Guo, Arthur",IM,USA,2529,,,2006
"Noe, Christopher",IM,GER,2528,2427,2559,1996
"Keinanen, Toivo",IM,FIN,2527,2457,2524,2002
"Iermito, Sebastian",IM,ITA,2524,2427,2460,1993
"Klimkowski, Jan",IM,POL,2520,2368,2324,2007
"Kriebel, Tadeas",IM,CZE,2519,2428,2437,1995
"Nozdrachev, Vladislav",IM,RUS,2515,2495,2481,1992
"Lamard, Guillaume",IM,FRA,2514,2434,2409,1997
Prraneeth Vuppala,IM,IND,2512,2416,2276,2007
Samant Aditya S,IM,IND,2512,2339,2410,2006
"Kaczur, Florian",IM,HUN,2510,2487,2505,1998
"Xu, Zhihang",IM,CHN,2509,2426,2404,2001
"Ghasi, Ameet K",IM,ENG,2508,2482,2558,1987
"Beradze, Irakli",IM,GEO,2507,2457,2394,1996
"Can, Isik",IM,TUR,2507,2371,2374,2005
"Samadov, Read",IM,AZE,2506,2389,2355,2007
"Kezin, Roman",IM,RUS,2505,2499,2492,1995
"Terry, Renato",IM,PER,2503,2471,2572,1992
"Ahmadzada, Ahmad",IM,AZE,2501,2414,2364,2004
"Grebnev, Aleksey",IM,FID,2500,2461,2404,2006
"Triapishko, Alexandr",IM,RUS,2499,2458,2467,2000
"Nenezic, Marko",IM,SRB,2499,2493,2457,1995
"Kukhmazov, Arsen",IM,FID,2498,2443,2397,1997
"Brenninkmeijer, Joris",IM,NED,2498,,,1969
"Maksimovic, Bojan",IM,BIH,2497,2519,2546,2002
"Shuvalova, Polina",IM WGM,RUS,2497,2381,2342,2001
"Erenberg, Ariel",IM,ISR,2496,2397,2416,2001
"Erdogmus, Yagiz Kaan",IM,TUR,2496,2342,2359,2011
"Wang, Justin",IM,USA,2495,2371,,2005
