Name,Title,Country,Standard Rating,Rapid Rating,Blitz Rating,Birth Year,Age
"Carlsen, Magnus",GM,Norway,2829.0,2818.0,2887.0,1990.0,33.0
"Caruana, Fabiano",GM,United States,2795.0,2765.0,2813.0,1992.0,31.0
"Ding, Liren",GM,China,2780.0,2830.0,2787.0,1992.0,31.0
"Nakamura, Hikaru",GM,United States,2778.0,2731.0,2874.0,1987.0,36.0
"Firouzja, Alireza",GM,France,2777.0,2742.0,2896.0,2003.0,20.0
"Nepomniachtchi, Ian",GM,Russia,2771.0,2789.0,2785.0,1990.0,33.0
"So, Wesley",GM,United States,2752.0,2753.0,2760.0,1993.0,30.0
"Giri, Anish",GM,NED,2752.0,2697.0,2752.0,1994.0,29.0
"Karjakin, Sergey",GM,Russia,2750.0,2729.0,2647.0,1990.0,33.0
"Anand, Viswanathan",GM,India,2748.0,2749.0,2709.0,1969.0,54.0
"Rapport, Richard",GM,Romania,2748.0,2735.0,2748.0,1996.0,27.0
Gukesh D,GM,India,2746.0,2656.0,2657.0,2006.0,17.0
"Radjabov, Teimour",GM,Azerbaijan,2745.0,2691.0,2664.0,1987.0,36.0
"Dominguez Perez, Leinier",GM,United States,2745.0,2706.0,2654.0,1983.0,40.0
Praggnanandhaa R,GM,India,2741.0,2706.0,2665.0,2005.0,18.0
"Vachier-Lagrave, Maxime",GM,France,2734.0,2771.0,2728.0,1990.0,33.0
"Mamedyarov, Shakhriyar",GM,Azerbaijan,2734.0,2715.0,2716.0,1985.0,38.0
"Maghsoodloo, Parham",GM,IRI,2732.0,2644.0,2660.0,2000.0,23.0
"Grischuk, Alexander",GM,Russia,2732.0,2678.0,2699.0,1983.0,40.0
"Le, Quang Liem",GM,Vietnam,2731.0,2652.0,2665.0,1991.0,32.0
"Duda, Jan-Krzysztof",GM,Poland,2731.0,2772.0,2775.0,1998.0,25.0
"Wei, Yi",GM,China,2729.0,2744.0,2684.0,1999.0,24.0
"Aronian, Levon",GM,United States,2727.0,2762.0,2772.0,1982.0,41.0
"Topalov, Veselin",GM,BUL,2727.0,2632.0,2657.0,1975.0,48.0
"Abdusattorov, Nodirbek",GM,Uzbekistan,2722.0,2727.0,2694.0,2004.0,19.0
"Keymer, Vincent",GM,GER,2721.0,2631.0,2629.0,2004.0,19.0
"Yu, Yangyi",GM,China,2720.0,2699.0,2762.0,1994.0,29.0
"Vidit, Santosh Gujrathi",GM,India,2715.0,2691.0,2642.0,1994.0,29.0
"Artemiev, Vladislav",GM,Russia,2714.0,2721.0,2799.0,1998.0,25.0
Erigaisi Arjun,GM,India,2713.0,2654.0,2729.0,2003.0,20.0
"Vitiugov, Nikita",GM,England,2712.0,2617.0,2673.0,1987.0,36.0
"Harikrishna, Pentala",GM,India,2711.0,2632.0,2641.0,1986.0,37.0
"Dubov, Daniil",GM,Russia,2710.0,2713.0,2767.0,1996.0,27.0
"Martirosyan, Haik M.",GM,Armenia,2708.0,2634.0,2770.0,2000.0,23.0
"Sjugirov, Sanan",GM,Hungary,2703.0,2571.0,2569.0,1993.0,30.0
"Deac, Bogdan-Daniel",GM,Romania,2700.0,2623.0,2641.0,2001.0,22.0
"Van Foreest, Jorden",GM,NED,2700.0,2655.0,2664.0,1999.0,24.0
"Eljanov, Pavel",GM,Ukraine,2697.0,2620.0,2598.0,1983.0,40.0
"Robson, Ray",GM,United States,2696.0,2596.0,2665.0,1994.0,29.0
"Sevian, Samuel",GM,United States,2696.0,2581.0,2695.0,2000.0,23.0
"Navara, David",GM,Czech Republic,2695.0,2712.0,2661.0,1985.0,38.0
"Wang, Hao",GM,China,2694.0,2709.0,2628.0,1989.0,34.0
"Tabatabaei, M. Amin",GM,IRI,2694.0,2576.0,2573.0,2001.0,22.0
Nihal Sarin,GM,India,2692.0,2667.0,2689.0,2004.0,19.0
"Svidler, Peter",GM,FIDE,2689.0,2737.0,2689.0,1976.0,47.0
"Grandelius, Nils",GM,Sweden,2688.0,2640.0,2573.0,1993.0,30.0
"Sargissian, Gabriel",GM,Armenia,2686.0,2608.0,2579.0,1983.0,40.0
"Shankland, Sam",GM,United States,2686.0,2597.0,2663.0,1991.0,32.0
"Sindarov, Javokhir",GM,Uzbekistan,2681.0,2625.0,2607.0,2005.0,18.0
"Tomashevsky, Evgeny",GM,Russia,2681.0,2642.0,2663.0,1987.0,36.0
"Xiong, Jeffery",GM,United States,2681.0,2727.0,2726.0,2000.0,23.0
"Abasov, Nijat",GM,Azerbaijan,2679.0,2554.0,2561.0,1995.0,28.0
"Kasimdzhanov, Rustam",GM,Uzbekistan,2679.0,2648.0,2586.0,1979.0,44.0
"Bu, Xiangzhi",GM,China,2677.0,2594.0,2760.0,1985.0,38.0
"Esipenko, Andrey",GM,FIDE,2677.0,2677.0,2615.0,2002.0,21.0
"Howell, David W L",GM,England,2676.0,2612.0,2567.0,1990.0,33.0
"Fedoseev, Vladimir",GM,SLO,2675.0,2716.0,2719.0,1995.0,28.0
"Kovalenko, Igor",GM,Ukraine,2674.0,2608.0,2574.0,1988.0,35.0
"Amin, Bassem",GM,Egypt,2674.0,2580.0,2636.0,1988.0,35.0
"Matlakov, Maxim",GM,Russia,2674.0,2616.0,2638.0,1991.0,32.0
"Adams, Michael",GM,England,2670.0,2647.0,2704.0,1971.0,52.0
"Bluebaum, Matthias",GM,GER,2670.0,2608.0,2621.0,1997.0,26.0
"Alekseenko, Kirill",GM,Austria,2670.0,2630.0,2667.0,1997.0,26.0
"Sarana, Alexey",GM,Serbia,2669.0,2649.0,2707.0,2000.0,23.0
Narayanan S L,GM,India,2668.0,2586.0,2564.0,1998.0,25.0
"Shirov, Alexei",GM,Spain,2668.0,2601.0,2659.0,1972.0,51.0
"Wojtaszek, Radoslaw",GM,Poland,2668.0,2648.0,2604.0,1987.0,36.0
"Anton Guijarro, David",GM,Spain,2668.0,2625.0,2616.0,1995.0,28.0
"Bacrot, Etienne",GM,France,2668.0,2674.0,2640.0,1983.0,40.0
"Vallejo Pons, Francisco",GM,Spain,2668.0,2652.0,2589.0,1982.0,41.0
"Oparin, Grigoriy",GM,United States,2667.0,2657.0,2647.0,1997.0,26.0
"Korobov, Anton",GM,Ukraine,2667.0,2601.0,2649.0,1985.0,38.0
"Leko, Peter",GM,Hungary,2666.0,2710.0,2738.0,1979.0,44.0
"Shevchenko, Kirill",GM,Romania,2665.0,2613.0,2603.0,2002.0,21.0
"Donchenko, Alexander",GM,GER,2664.0,2574.0,2569.0,1998.0,25.0
"Predke, Alexandr",GM,Serbia,2661.0,2586.0,2594.0,1994.0,29.0
"Volokitin, Andrei",GM,Ukraine,2660.0,2609.0,2545.0,1986.0,37.0
"Gelfand, Boris",GM,Israel,2660.0,2622.0,2604.0,1968.0,55.0
"Wang, Yue",GM,China,2659.0,2710.0,2666.0,1987.0,36.0
"Niemann, Hans Moke",GM,United States,2659.0,2606.0,2614.0,2003.0,20.0
"Saric, Ivan",GM,CRO,2659.0,2623.0,2586.0,1990.0,33.0
"Inarkiev, Ernesto",GM,FIDE,2658.0,2684.0,2544.0,1985.0,38.0
"Ivanchuk, Vasyl",GM,Ukraine,2653.0,2674.0,2678.0,1969.0,54.0
"Naiditsch, Arkadij",GM,Azerbaijan,2653.0,2569.0,2569.0,1985.0,38.0
"Ma, Qun",GM,China,2653.0,2577.0,2602.0,1991.0,32.0
"Najer, Evgeniy",GM,FIDE,2653.0,2579.0,2545.0,1977.0,46.0
"Li, Chao b",GM,China,2652.0,2618.0,2693.0,1989.0,34.0
"Kryvoruchko, Yuriy",GM,Ukraine,2652.0,2697.0,2595.0,1986.0,37.0
"Ni, Hua",GM,China,2651.0,2626.0,2579.0,1983.0,40.0
"Bartel, Mateusz",GM,Poland,2651.0,2523.0,2497.0,1985.0,38.0
"Pichot, Alan",GM,Spain,2650.0,2575.0,2583.0,1998.0,25.0
"Melkumyan, Hrant",GM,Armenia,2650.0,2686.0,2604.0,1989.0,34.0
"Yilmaz, Mustafa",GM,Turkey,2650.0,2547.0,2523.0,1992.0,31.0
"Sadhwani, Raunak",GM,India,2650.0,2586.0,2668.0,2005.0,18.0
"Cheparinov, Ivan",GM,BUL,2649.0,2643.0,2613.0,1986.0,37.0
"Svane, Rasmus",GM,GER,2647.0,2629.0,2597.0,1997.0,26.0
"Grigoryan, Karen H.",GM,Armenia,2646.0,2674.0,2700.0,1995.0,28.0
"Malakhov, Vladimir",GM,FIDE,2646.0,2666.0,2622.0,1980.0,43.0
"Mamedov, Rauf",GM,Azerbaijan,2644.0,2622.0,2635.0,1988.0,35.0
"Yakubboev, Nodirbek",GM,Uzbekistan,2643.0,2564.0,2582.0,2002.0,21.0
"Kollars, Dmitrij",GM,GER,2642.0,2560.0,2575.0,1999.0,24.0
"Ponomariov, Ruslan",GM,Ukraine,2641.0,2646.0,2613.0,1983.0,40.0
"Fressinet, Laurent",GM,France,2640.0,2652.0,2636.0,1981.0,42.0
"Liang, Awonder",GM,United States,2640.0,2519.0,2527.0,2003.0,20.0
"Moussard, Jules",GM,France,2639.0,2597.0,2637.0,1995.0,28.0
"Warmerdam, Max",GM,NED,2638.0,2531.0,2530.0,2000.0,23.0
"Aravindh, Chithambaram VR.",GM,India,2638.0,2573.0,2584.0,1999.0,24.0
"Guseinov, Gadir",GM,Azerbaijan,2636.0,2631.0,2577.0,1986.0,37.0
"Salem, A.R. Saleh",GM,UAE,2635.0,2680.0,2668.0,1993.0,30.0
"Santos Latasa, Jaime",GM,Spain,2635.0,2660.0,2594.0,1996.0,27.0
"Kamsky, Gata",GM,United States,2634.0,2630.0,2660.0,1974.0,49.0
"Nguyen, Ngoc Truong Son",GM,Vietnam,2633.0,2567.0,2556.0,1990.0,33.0
"Bjerre, Jonas Buhl",GM,DEN,2633.0,2523.0,2519.0,2004.0,19.0
"Gledura, Benjamin",GM,Hungary,2633.0,2639.0,2537.0,1999.0,24.0
"Nabaty, Tamir",GM,Israel,2632.0,2658.0,2627.0,1991.0,32.0
"Hou, Yifan",GM,China,2632.0,2545.0,2561.0,1994.0,29.0
"Vocaturo, Daniele",GM,Italy,2632.0,2576.0,2565.0,1989.0,34.0
"Henriquez Villagra, Cristobal",GM,CHI,2630.0,2590.0,2572.0,1996.0,27.0
"Lagarde, Maxime",GM,France,2629.0,2582.0,2564.0,1994.0,29.0
"Meier, Georg",GM,URU,2629.0,2640.0,2517.0,1987.0,36.0
"Granda Zuniga, Julio E",GM,Peru,2628.0,2609.0,2624.0,1967.0,56.0
"L'Ami, Erwin",GM,NED,2628.0,2647.0,2675.0,1985.0,38.0
"Popov, Ivan",GM,Russia,2628.0,2577.0,2554.0,1990.0,33.0
"Van Wely, Loek",GM,NED,2628.0,2528.0,2549.0,1972.0,51.0
"Areshchenko, Alexander",GM,Ukraine,2627.0,2558.0,2594.0,1986.0,37.0
"Lenic, Luka",GM,SLO,2627.0,2659.0,2644.0,1988.0,35.0
"Puranik, Abhimanyu",GM,India,2627.0,2538.0,2493.0,2000.0,23.0
"Chigaev, Maksim",GM,Spain,2627.0,2592.0,2561.0,1996.0,27.0
Aryan Chopra,GM,India,2626.0,,,2001.0,22.0
"McShane, Luke J",GM,England,2626.0,2702.0,2583.0,1984.0,39.0
"Cori, Jorge",GM,Peru,2626.0,2588.0,2579.0,1995.0,28.0
"Sargsyan, Shant",GM,Armenia,2625.0,2591.0,2633.0,2002.0,21.0
"Durarbayli, Vasif",GM,Azerbaijan,2625.0,2531.0,2551.0,1992.0,31.0
"Murzin, Volodar",GM,FIDE,2625.0,2547.0,2591.0,2006.0,17.0
"Nguyen, Thai Dai Van",GM,Czech Republic,2624.0,2537.0,2574.0,2001.0,22.0
"Svane, Frederik",GM,GER,2624.0,2455.0,2502.0,2004.0,19.0
"Zherebukh, Yaroslav",GM,United States,2624.0,2620.0,2531.0,1993.0,30.0
"Papaioannou, Ioannis",GM,GRE,2623.0,2614.0,2666.0,1976.0,47.0
"Xu, Xiangyu",GM,China,2623.0,2593.0,2491.0,1999.0,24.0
"Brkic, Ante",GM,CRO,2622.0,2566.0,2564.0,1988.0,35.0
"Iturrizaga Bonelli, Eduardo",GM,Spain,2621.0,2635.0,2645.0,1989.0,34.0
"Karthikeyan, Murali",GM,India,2621.0,2522.0,2511.0,1999.0,24.0
"Bok, Benjamin",GM,NED,2621.0,2604.0,2657.0,1995.0,28.0
"Tari, Aryan",GM,Norway,2620.0,2540.0,2593.0,1999.0,24.0
"Motylev, Alexander",GM,Romania,2619.0,2652.0,2532.0,1979.0,44.0
"Naroditsky, Daniel",GM,United States,2619.0,2642.0,2632.0,1995.0,28.0
"Theodorou, Nikolas",GM,GRE,2619.0,2543.0,2525.0,2000.0,23.0
"Jones, Gawain C B",GM,England,2618.0,2630.0,2645.0,1987.0,36.0
"Gustafsson, Jan",GM,GER,2618.0,2641.0,2528.0,1979.0,44.0
"Ter-Sahakyan, Samvel",GM,Armenia,2618.0,2542.0,2556.0,1993.0,30.0
"Balog, Imre",GM,Hungary,2617.0,2616.0,2598.0,1991.0,32.0
"Riazantsev, Alexander",GM,Russia,2616.0,2504.0,2621.0,1985.0,38.0
"Hakobyan, Aram",GM,Armenia,2616.0,2513.0,2584.0,2001.0,22.0
"Mishra, Abhimanyu",GM,United States,2616.0,,2449.0,2009.0,14.0
"Swiercz, Dariusz",GM,United States,2615.0,2657.0,2620.0,1994.0,29.0
"Idani, Pouya",GM,IRI,2615.0,2516.0,2574.0,1995.0,28.0
"Ragger, Markus",GM,Austria,2615.0,2621.0,2532.0,1988.0,35.0
"Milov, Vadim",GM,SUI,2615.0,2632.0,2519.0,1972.0,51.0
"Mendonca, Leon Luke",GM,India,2614.0,2458.0,2481.0,2006.0,17.0
"Rakhmanov, Aleksandr",GM,FIDE,2614.0,2617.0,2521.0,1989.0,34.0
"Berkes, Ferenc",GM,Hungary,2613.0,2626.0,2664.0,1985.0,38.0
"Christiansen, Johan-Sebastian",GM,Norway,2612.0,2494.0,2541.0,1998.0,25.0
"Hammer, Jon Ludvig",GM,Norway,2612.0,2647.0,2572.0,1990.0,33.0
"Negi, Parimarjan",GM,India,2612.0,2613.0,2613.0,1993.0,30.0
"Andersen, Mads",GM,DEN,2612.0,2512.0,2518.0,1995.0,28.0
"Paravyan, David",GM,FIDE,2612.0,2586.0,2566.0,1998.0,25.0
"Bareev, Evgeny",GM,Canada,2611.0,2617.0,2660.0,1966.0,57.0
"Hovhannisyan, Robert",GM,Armenia,2611.0,2589.0,2570.0,1991.0,32.0
"Pranav, V",GM,India,2611.0,2472.0,2562.0,2006.0,17.0
"Nyzhnyk, Illya",GM,Ukraine,2611.0,2658.0,2643.0,1996.0,27.0
"Martinez Alcantara, Jose Eduardo",GM,Peru,2611.0,2641.0,2703.0,1999.0,24.0
"Hansen, Eric",GM,Canada,2610.0,2582.0,2561.0,1992.0,31.0
"Safarli, Eltaj",GM,Azerbaijan,2610.0,2646.0,2653.0,1992.0,31.0
"Zilka, Stepan",GM,Czech Republic,2609.0,2474.0,2494.0,1988.0,35.0
"Banusz, Tamas",GM,Hungary,2609.0,2556.0,2602.0,1989.0,34.0
"Huschenbeth, Niclas",GM,GER,2609.0,2573.0,2603.0,1992.0,31.0
"Bortnyk, Olexandr",GM,Ukraine,2608.0,2642.0,2725.0,1996.0,27.0
"Ponkratov, Pavel",GM,Russia,2608.0,2577.0,2547.0,1988.0,35.0
"Demchenko, Anton",GM,SLO,2608.0,2538.0,2545.0,1987.0,36.0
"Salgado Lopez, Ivan",GM,Spain,2608.0,2554.0,2561.0,1991.0,32.0
"Sanal, Vahap",GM,Turkey,2608.0,2526.0,2637.0,1998.0,25.0
"Lu, Shanglei",GM,China,2607.0,2654.0,2638.0,1995.0,28.0
"Gupta, Abhijeet",GM,India,2606.0,2543.0,2528.0,1989.0,34.0
"Yoo, Christopher Woojin",GM,United States,2606.0,2497.0,2551.0,2006.0,17.0
"Mareco, Sandro",GM,Argentina,2606.0,2543.0,2544.0,1987.0,36.0
