Name,Title,Country,Standard Rating,Rapid Rating,Blitz Rating,Birth Year
Aaditya Dhingra,CM,IND,2495,2189,2269,2006
"Tran, Thanh Tu",CM,JPN,2386,2372,2399,1990
"Xie, Kaifan",CM,CHN,2382,2021,2023,2008
Mayank Chakraborty,CM,IND,2368,2225,2142,2009
Soham Kamotra,CM,IND,2348,2135,2209,2004
"Balacek, Tadeas",CM,CZE,2347,2287,2278,1995
"Zuo, Yifan",CM,CHN,2337,2217,2232,2005
"Tan, Jun Ying",CM,MAS,2326,2099,2089,2003
Dau Khuong Duy,CM,VIE,2299,2206,2125,2011
"Rostomyan, Mikayel",CM,ARM,2294,2169,2076,2006
"Skvortsov, Andrei",CM,MNE,2294,2227,2357,1996
"Bazzano, Sebastian",CM,ARG,2288,2281,,1974
"Krawczyk, Flawian",CM,POL,2288,2116,2040,2008
Pimpalkhare Vedant,CM,IND,2287,2101,2182,1997
"Atoyan, Alberto",CM,ARM,2283,1963,1860,2009
"Horcajuelo Rocamora, Martin",CM,ESP,2281,2188,2187,2008
"Salinas Tomas, Daniel",CM,ESP,2281,2260,2172,2009
"Villar Perez, Samuel",CM,ESP,2280,2151,2171,1994
"Fiszer, Bartosz",CM,POL,2280,2136,2079,2007
"Thing, Bibek",CM,NEP,2279,2169,2111,1995
"Sierra Vallina, Lionel",CM,ESP,2279,2251,2302,2009
"Montignies, Rainer",CM,GER,2278,,,1979
Shaik Sumer Arsh,CM,IND,2273,2154,2358,2008
"Creanga, Robert-Ionut",CM,ROU,2273,2184,2123,2006
"Yaran, Siar",CM,TUR,2272,2191,2191,1998
"Sowul, Bartosz",CM,POL,2272,2181,2188,1994
"Guttulsrud, Odd Martin",CM,NOR,2271,2201,2174,1994
"Turner, Max N",CM,ENG,2270,2246,2157,2003
"Antonios, Johnny",CM,LBN,2269,2181,2246,1981
"Ersoz, Teoman Guney",CM,TUR,2269,1591,1767,2009
"Bujnoch, Radek",CM,CZE,2269,2213,2110,1978
"Anttila, Perttu",CM,FIN,2269,2220,,1986
"Kejna, Piotr",CM,POL,2269,2062,1976,2007
"Donker, Roel",CM,NED,2268,,,1987
"Assylov, Miras",CM,KAZ,2267,2189,1991,2008
"Soberov, Emil",CM,CAN,2266,1860,1777,2010
"Nunez Asencio, Jorge",CM,CUB,2266,,2254,1988
Md Bashiq Imrose,CM,IND,2266,1494,1689,2007
"Bruil, Rembrandt",CM,NED,2266,,2123,2003
"Marquez Ruiz, Angel Jesus",CM,VEN,2265,2236,2268,1990
"Hasanagic, Anel",CM,SLO,2264,2302,2209,1991
Mendes Aaron Reeve,CM,CAN,2262,2190,2116,2012
"Yilmaz, Baver",CM,TUR,2261,1622,1622,2012
"Ulasevich, Sergei",CM,FID,2261,2123,2124,1991
"Mulawa, Cyprian",CM,POL,2258,2170,2198,2009
Chitre Arush,CM,IND,2258,1678,1996,2010
"Naciri, Zouhair",CM,MAR,2258,2243,2240,1976
"Marie, Maxime",CM,FRA,2258,2145,2110,1984
"Vemparala, Nikash",CM,USA,2257,,2069,2010
"Doknjas, Neil",CM,CAN,2255,,2152,2005
"Birkisson, Bardur Orn",CM,ISL,2254,2045,2096,2000
"Carrillo Parra, Miguel Alfredo",CM,COL,2254,2223,2207,1988
Dinh Nho Kiet,CM,VIE,2253,2143,2089,2010
"Ahmed, Abuzied",CM,SUD,2252,2253,2117,1984
"Ozen, Metehan",CM,TUR,2252,2136,1710,2006
"Rathlev, Jakob",CM,DEN,2251,2238,,1978
"Alivodic, Dario",CM,MNE,2251,2167,2148,2002
"Horvath, Gabor",CM,HUN,2251,2253,,1980
"Tomeo, Ivan",CM,ARG,2250,2193,2120,1992
"Elgersma, Simon",CM,NED,2250,,2099,2000
"Biro, David",CM,HUN,2249,,,1982
"Mollema, Thomas",CM,NED,2249,,2294,1997
"Jusup, Matej",CM,CRO,2249,,2157,1992
"Kuzhylnyi, Oleksandr",CM,UKR,2248,2063,2173,2006
"Sprangers, Remco",CM,NED,2248,,,1985
"Nafri, Khalil",CM,MAR,2248,2243,2151,1987
"Ramirez Marin, Ivan",CM,MEX,2248,2204,2190,1994
"Coman, Mihnea-George",CM,ROU,2247,2144,2113,2003
"Yoo, Eugene",CM,USA,2247,1955,,2005
"Panek, Bartosz",CM,POL,2246,1967,1972,2004
"Escalona Landi, Samid Eduardo",CM,VEN,2245,2338,2415,2002
"Paradzik, Berislav",CM,CRO,2245,2104,2104,1999
"Idrizaj, Abedin",CM,KOS,2245,2215,2321,1973
"Van Rijn, Anton",CM,NED,2245,,,1964
"Bauer, Thomas",CM,AUT,2245,2092,2168,1996
"Liang, Hairan",CM,CAN,2244,,,2002
"Garcia de Dios, Jose Antonio",CM,MEX,2242,2071,2250,2002
"Wan, Joseph",CM,USA,2242,2115,2235,2001
"Cai, Chaoruo",CM,CHN,2241,2123,2109,1986
"Yuksel, Atilla Koksal",CM,TUR,2241,,2231,1996
"Leong, Luke",CM,SGP,2240,,,1986
"Kasa, Attila",CM,HUN,2240,,,1970
"Eichstaedt, Mirko",CM,GER,2240,,2164,1997
"Zacurdajev, Dmitry",CM,SRB,2239,2173,2216,1989
"Gelbenegger, Patrick",CM,AUT,2239,2160,2131,2000
"Krylov, Aleksey",CM,RUS,2238,2285,2224,1995
"Ocelak, Jakub",CM,CZE,2238,2035,2156,2005
"Espinosa, Pedro",CM,USA,2238,2019,2016,2004
"Sanchez Vigon, David",CM,ESP,2236,2166,2134,1997
"Aumont, Alexandre",CM,FRA,2236,2110,,1993
"Cvetanovic, Uros",CM,SRB,2235,2338,2294,1995
"Ilincic, Aleksa",CM,SRB,2235,2156,2115,1997
"Munoz Martin, Pablo",CM,ESP,2235,,,1974
"Nemec, Vjekoslav",CM,CRO,2235,2225,2317,1992
Aashman Gupta,CM,IND,2235,1841,1967,2008
"Filali, Razzouki Marouane",CM,MAR,2234,2193,2132,1993
"Tang, Dylan",CM,USA,2234,,1740,2010
"Mifsud, Timothy",CM,MLT,2234,,,1979
"Muradov, Soltan",CM,TKM,2233,2099,2198,2002
"Cordon Gutierrez, Juan Pedro",CM,ESP,2233,2251,2255,1973
"Karaoglan, Doruk",CM,TUR,2233,2110,2110,2004
"Osorio Itanare, Fernando Augusto",CM,VEN,2232,2207,2153,1986
"Bargsten, Justus",CM,GER,2232,2073,2164,2001
"Villiers, Thomas",CM,ENG,2232,2108,2131,1992
"Mazurek, Robert",CM,POL,2231,2126,2211,1984
